INGREDIENTES,UND,PRECIO / unidad,RENDIMIENTO,CATEGORÍA
Abadejo Fresco,kg,10.50 €,100.00%,Proteína animal
Abdejo Filete Cong,kg,4.90 €,100.00%,Proteína animal
Abdejo Filete Cong Piel,kg,3.15 €,100.00%,Proteína animal
Abdejo Filete Cong Prem,kg,5.20 €,100.00%,Proteína animal
Aceite Freidoras,kg,1.01 €,100.00%,Grasa
Aceite Girasol,kg,1.04 €,100.00%,Grasa
Aceite Oliva Virgen Extra,kg,3.81 €,100.00%,Grasa
Aceite Oliva Virgen Extra,unidad,0.22 €,100.00%,Grasa
Aceite Ove 0´4 º,kg,3.23 €,100.00%,Grasa
Aceite De Trufa,kg,3.60 €,100.00%,Grasa
Aceituna Negra Con Hueso,kg,2.00 €,100.00%,Vegetales y frutas
Aceituna Negra Sin Hueso,kg,3.06 €,100.00%,Vegetales y frutas
Aceituna Rellena,kg,2.34 €,100.00%,Vegetales y frutas
Aceituna Verde Con Hueso,kg,1.85 €,100.00%,Vegetales y frutas
Aceituna Verde Sin Hueso,kg,3.42 €,100.00%,Vegetales y frutas
Acido De Frutos,l,8.53 €,100.00%,Secos y conservas
Actimel,unidad,0.26 €,100.00%,Lácteos y sustitutos
Agar Agar,kg,63.07 €,100.00%,Secos y conservas
Agua 1/2 Gas Fuente Alta,unidad,0.09 €,100.00%,Bebidas
Agua 1/2 Sin Gas Fuente Alta,unidad,0.09 €,100.00%,Bebidas
Agua Apollinares 100cl,unidad,0.99 €,100.00%,Bebidas
Agua Cristal 75cl,unidad,0.17 €,100.00%,Bebidas
Agua De Azahar,lts.,5.04 €,100.00%,Bebidas
Agua De Rosas,lts.,28.80 €,100.00%,Bebidas
Agua Firgas 75cl. Gas,unidad,0.20 €,100.00%,Bebidas
Agua Pet 1.5 Lt,unidad,0.30 €,100.00%,Bebidas
Agua Pet 50cl,unidad,0.17 €,100.00%,Bebidas
Aguacate,kg,4.35 €,100.00%,Vegetales y frutas
Agualts. Garrafa,lts.,0.13 €,100.00%,Bebidas
Aguja De Res,kg,6.53 €,100.00%,Proteína animal
Aji,kg,10.71 €,100.00%,Vegetales y frutas
Ajo Deshidratado,kg,4.66 €,100.00%,Vegetales y frutas
Ajon Joli,kg,14.14 €,100.00%,Vegetales y frutas
Ajos Granel,kg,2.70 €,100.00%,Vegetales y frutas
Ajos Tiernos,manojo,2.00 €,100.00%,Vegetales y frutas
Alaska Neutro,kg,9.65 €,100.00%,Secos y conservas
Albahaca,manojo,0.70 €,100.00%,Vegetales y frutas
Albaricoque,kg,2.30 €,100.00%,Vegetales y frutas
Albumina(Huevo En Polvo),kg,13.00 €,100.00%,Proteína animal
Alcachofa,kg,2.80 €,100.00%,Vegetales y frutas
Alcachofa Cong.,kg,2.81 €,100.00%,Vegetales y frutas
Alcaparra,kg,8.84 €,100.00%,Vegetales y frutas
Alcegas,manojo,0.30 €,100.00%,Vegetales y frutas
Alcohofa Conserva,kg,2.35 €,100.00%,Vegetales y frutas
